0.5377,-1.3499,0.6715,0.8884,-0.1022,-0.8637,-1.0891,-0.6156,1.4193,-1.148
1.8339,3.0349,-1.2075,-1.1471,-0.2414,0.0774,0.0326,0.7481,0.2916,0.1049
-2.2588,0.7254,0.7172,-1.0689,0.3192,-1.2141,0.5525,-0.1924,0.1978,0.7223
0.8622,-0.0631,1.6302,-0.8095,0.3129,-1.1135,1.1006,0.8886,1.5877,2.5855
0.3188,0.7147,0.4889,-2.9443,-0.8649,-0.0068,1.5442,-0.7648,-0.8045,-0.6669
-1.3077,-0.205,1.0347,1.4384,-0.0301,1.5326,0.0859,-1.4023,0.6966,0.1873
-0.4336,-0.1241,0.7269,0.3252,-0.1649,-0.7697,-1.4916,-1.4224,0.8351,-0.0825
0.3426,1.4897,-0.3034,-0.7549,0.6277,0.3714,-0.7423,0.4882,-0.2437,-1.933
3.5784,1.409,0.2939,1.3703,1.0933,-0.2256,-1.0616,-0.1774,0.2157,-0.439
2.7694,1.4172,-0.7873,-1.7115,1.1093,1.1174,2.3505,-0.1961,-1.1658,-1.7947
0.8404,-2.1384,2.908,-0.3538,0.0229,0.5201,-0.2938,-1.332,-1.3617,-0.1952
-0.888,-0.8396,0.8252,-0.8236,-0.262,-0.02,-0.8479,-2.3299,0.455,-0.2176
0.1001,1.3546,1.379,-1.5771,-1.7502,-0.0348,-1.1201,-1.4491,-0.8487,-0.3031
-0.5445,-1.0722,-1.0582,0.508,-0.2857,-0.7982,2.526,0.3335,-0.3349,0.023
0.3035,0.961,-0.4686,0.282,-0.8314,1.0187,1.6555,0.3914,0.5528,0.0513
-0.6003,0.124,-0.2725,0.0335,-0.9792,-0.1332,0.3075,0.4517,1.0391,0.8261
0.49,1.4367,1.0984,-1.3337,-1.1564,-0.7145,-1.2571,-0.1303,-1.1176,1.527
0.7394,-1.9609,-0.2779,1.1275,-0.5336,1.3514,-0.8655,0.1837,1.2607,0.4669
1.7119,-0.1977,0.7015,0.3502,-2.0026,-0.2248,-0.1765,-0.4762,0.6601,-0.2097
-0.1941,-1.2078,-2.0518,-0.2991,0.9642,-0.589,0.7914,0.862,-0.0679,0.6252
